VTO_name	VTO_id
Glossophaga apolinari	VTO_9021973
Praearmantomys crusafonti	VTO_9021972
Garudimimidae	VTO_9021971
Epimeriones austriacus	VTO_9021970
Acanthoplesiops psilogaster	VTO_0077458
Acanthoplesiops hiatti	VTO_0077459
Acanthoclinus littoreus	VTO_0077452
Acanthoclinus rua	VTO_0077453
Beliops batanensis	VTO_0077450
Acanthoclinus marilynae	VTO_0077455
Ornithostoma sedgwicki	VTO_9033499
Neoanomoepus perigrinatus	VTO_9033498
Gyronchus	VTO_9033493
Gyrodus	VTO_9033492
Grypodon	VTO_9033490
Ichthyoceras	VTO_9033495
Alepocephalus dentifer	VTO_0080164
Alepocephalus blanfordii	VTO_0080165
Alepocephalus andersoni	VTO_0080166
Alepocephalus fundulus	VTO_0080167
Alepocephalus owstoni	VTO_0080160
Alepocephalus melas	VTO_0080161
Alepocephalus asperifrons	VTO_0080162
Alepocephalus planifrons	VTO_0080163
Alepocephalus longirostris	VTO_0080168
Alepocephalus triangularis	VTO_0080169
Typhlonectidae	VTO_0007996
Typhlonectes	VTO_0007997
Caudacaecilia larutensis	VTO_0007992
Typhlonectes natans	VTO_0007998
Tilapia ismailiaensis	VTO_0073203
Tilapia thysi	VTO_0073202
Tilapia camerunensis	VTO_0073201
Tilapia kottae	VTO_0073200
Tilapia spongotroktis	VTO_0073207
